InvoiceNo,StockCode
1,10307
1,10311
1,12487
2,12559
3,12695
3,12703
3,18715
4,10311
4,12387
4,12515
4,12691
4,12695
4,12699
4,12703
4,12823
4,12831
4,12847
4,18595
4,18679
4,18751
5,10291
5,12523
5,12531
5,12535
5,12883
6,12523
6,12539
6,12803
6,12819
7,12819
8,12471
8,12491
8,12531
8,12535
8,12567
8,12663
8,12667
8,12823
8,18447
8,18507
8,18691
9,12487
10,12547
10,12815
10,12895
11,12527
11,12799
11,12807
11,12819
11,12879
12,12807
13,12875
14,12407
14,12507
14,12519
14,12547
15,12479
15,12483
15,12487
15,12527
15,12535
15,12539
15,12555
15,12715
15,12723
15,18447
15,18619
15,18691
15,18815
15,18819
15,18831
16,12403
17,12875
18,12371
18,12419
19,12823
20,18547
20,18587
20,18735
21,12523
22,12459
22,12523
22,12531
22,12559
22,12663
22,12667
22,12687
22,12847
22,12851
23,12621
23,12647
23,12667
23,12807
23,18707
23,18715
23,18747
23,18755
23,18763
23,18767
24,12647
25,12395
25,12403
25,12431
25,12447
25,12451
25,12515
25,12679
25,12715
25,12727
25,18431
26,12511
26,12627
26,18507
26,18755
27,12559
28,12663
29,12647
30,12299
30,12355
30,12367
30,12395
30,12419
30,12431
30,12435
30,12443
31,12403
31,12411
31,18547
31,18619
32,10877
32,12399
33,18547
34,10849
34,12431
34,12663
34,12743
34,12747
34,12751
35,12895
36,12463
37,12299
37,12395
37,12399
37,12403
37,12443
38,12327
38,12351
38,12355
38,12655
38,12723
38,12727
38,12803
38,12895
39,12663
40,12403
41,12567
42,12621
43,12503
44,12895
45,10849
45,18471
46,12403
46,12895
46,18691
47,10307
48,12621
48,12775
49,12875
50,12403
51,12895
52,10315
52,10829
52,10837
52,12819
52,12823
52,18507
52,18627
52,18675
52,18735
53,12495
53,12895
54,12823
55,18423
56,12695
57,12555
58,12627
59,12555
60,18615
60,18619
60,18743
60,18747
60,18751
60,18755
60,18759
60,18763
60,18767
61,10315
61,10837
61,10853
61,12411
61,12555
61,18723
61,18727
61,18731
62,18439
62,18443
62,18447
62,18451
62,18455
62,18459
62,18855
63,12591
64,12695
64,12703
65,12447
65,12555
65,12727
65,18527
65,18559
65,18691
65,18723
65,18735
65,18871
65,27385
66,12591
67,12439
68,12547
69,12591
70,12663
70,18787
71,12547
72,12431
73,12547
74,12547
75,10311
75,18651
75,18871
75,18879
76,18723
76,18787
76,18871
77,12419
77,12503
77,12567
77,12831
77,18635
77,18723
77,18787
78,10303
78,10311
78,10319
78,10323
78,10339
78,10343
78,10829
78,10833
78,10837
78,10849
78,10853
78,10857
78,10861
78,10865
78,10869
78,12323
78,12471
78,12475
78,12487
78,12571
78,12575
78,12647
78,12651
78,12655
78,12659
78,12667
78,12671
78,12679
78,12699
78,12703
78,12711
78,12715
78,12719
78,12735
78,12739
78,12743
78,12759
78,12763
78,12779
78,12799
78,12827
78,12835
78,12839
78,12847
78,12851
78,12859
78,12863
78,12867
78,12875
78,12883
78,12887
78,18415
78,18707
79,10881
79,12663
79,18431
79,18647
79,18831
80,12675
81,18707
81,18863
82,10291
82,10295
82,10299
82,10307
82,10327
82,10331
82,12663
82,12679
82,12683
82,12695
82,12699
82,12703
82,12799
82,12819
82,12823
82,12827
82,12831
82,12879
82,12895
83,12875
84,18547
84,18863
85,18707
86,12627
86,12631
87,10829
87,10833
88,12547
89,12411
89,12503
90,12431
91,12431
91,18523
92,12507
92,12567
92,18507
92,18523
92,18567
92,18595
92,18635
92,18799
92,18811
93,12547
94,12551
95,12515
96,18675
96,18683
97,12355
97,12607
98,10291
98,10295
98,10299
98,10307
98,10315
98,10327
98,10331
98,10335
98,12523
98,12527
98,12531
98,12631
98,12695
99,10311
99,10315
99,12487
99,12523
100,12559
100,12567
101,18787
101,18871
101,18879
102,12487
103,12547
104,10295
104,12691
105,12559
106,12627
106,18459
107,20807
108,12559
109,12659
110,12655
110,12695
111,12559
111,12567
112,10327
112,10331
112,10335
112,12531
112,12687
112,12691
112,12795
112,12803
112,12815
112,12819
112,12831
113,12491
114,12559
115,12559
116,12551
117,12559
118,12403
119,12479
119,12627
119,12683
119,12687
119,12795
119,12803
119,12815
119,12831
120,12343
120,12347
120,12351
120,12355
120,12559
120,12711
120,12723
120,12727
120,12883
120,18563
121,12851
122,12567
123,10295
123,10307
123,10311
123,12663
123,12667
123,12683
124,12579
125,10307
125,12663
126,18707
127,10311
127,10861
127,12479
127,12483
127,12487
127,12491
127,12663
127,12759
127,18619
127,18847
127,18863
127,18871
128,12621
129,10303
129,10311
129,10319
129,10323
129,10339
129,10343
129,10829
129,10833
129,10837
129,10841
129,10845
129,10849
129,10853
129,10857
129,10861
129,10865
129,10869
129,10877
129,10881
129,12323
129,12327
129,12331
129,12335
129,12343
129,12347
129,12351
129,12355
129,12431
129,12471
129,12475
129,12487
129,12547
129,12551
129,12555
129,12559
129,12563
129,12567
129,12571
129,12575
129,12579
129,12583
129,12587
129,12591
129,12595
129,12621
129,12647
129,12651
129,12655
129,12659
129,12667
129,12671
129,12679
129,12699
129,12703
129,12711
129,12715
129,12719
129,12735
129,12739
129,12743
129,12759
129,12763
129,12779
129,12799
129,12823
129,12827
129,12835
129,12839
129,12847
129,12851
129,12859
129,12863
129,12867
129,12875
129,12883
129,12887
129,12891
129,12895
130,12551
130,12559
131,18575
131,18787
131,18863
132,18871
133,18827
133,18831
134,12775
135,10295
135,10307
135,10315
135,12399
135,12559
135,12811
135,12847
135,18779
136,12403
136,12495
136,12503
136,12663
137,10295
137,10307
137,10311
137,10315
137,10849
137,10877
137,12347
137,12463
137,12487
137,12495
137,12515
137,12523
137,12531
137,12551
137,12567
137,12627
137,12655
137,12691
137,12695
137,12823
137,12831
137,12895
137,12907
137,18511
138,10295
138,10307
138,10311
138,10315
138,10857
138,10861
138,12531
138,12647
138,12651
138,12655
138,12667
138,12671
138,12723
138,12739
138,12747
138,12807
138,12819
138,12823
138,12847
138,12867
138,18479
138,18487
138,18499
138,18611
138,18643
138,18671
138,18675
138,18727
138,18751
138,18831
138,18863
139,12715
140,12351
140,12847
141,12487
141,12675
142,12567
143,10303
143,10857
143,10861
143,10865
143,12607
143,12611
143,12615
143,12715
143,12719
143,12723
143,12727
143,12731
143,12735
143,12739
143,12743
143,12747
143,12751
143,12755
143,12759
143,12763
143,12767
143,12771
143,12775
143,12779
143,12783
143,12787
144,10857
144,10865
144,12479
144,12483
144,12487
144,12491
144,12603
144,12607
144,12621
144,12683
144,12695
144,12699
144,12703
144,12823
144,12867
144,18787
145,18683
145,18695
146,18619
146,18787
147,12591
148,12463
148,12479
148,12483
148,12487
148,18863
149,12483
149,12491
